Trait	Lab	Sex	Population	Estimate	SE
Fec	Billeter	F	AK	97.067079406603	9.15433279424836
Fec	Billeter	F	GI	74.193385341163	10.4646597907474
Fec	Billeter	F	KA	109.970362850032	9.12824212281626
Fec	Billeter	F	MA	99.1196002990315	9.86787742293093
Fec	Billeter	F	MU	93.8424544805221	9.54629402703419
Fec	Billeter	F	RE	67.8538074348257	10.896370505925
Fec	Billeter	F	UM	102.826666666667	10.5374640305714
Fec	Billeter	F	VA	86.3332862946956	9.08017748273629
Fec	Billeter	F	YE	63.9366984711255	9.17854519754608
Fec	Fricke	F	AK	61.0780193429492	6.77043122189413
Fec	Fricke	F	GI	50.0402779406159	7.36558760813746
Fec	Fricke	F	KA	50.7965512665477	6.604239504494
Fec	Fricke	F	MA	55.990609519637	6.49090915711998
Fec	Fricke	F	MU	56.8858337344434	6.65879866079455
Fec	Fricke	F	RE	57.3414876231764	7.27561582475204
Fec	Fricke	F	UM	47.0003745368246	6.83905295067245
Fec	Fricke	F	VA	53.8885232595347	6.62215338373714
Fec	Fricke	F	YE	53.2088906296768	6.59186838356195
