Model	Trait	Lab	Sex	Population	Estimate	SE
lmer_pop	LA_NDlog2	Tauber	B	AK	-0.450191898942809	0.116138036198652
lmer_pop	LA_NDlog2	Tauber	B	GI	-0.318829654220643	0.117623482989839
lmer_pop	LA_NDlog2	Tauber	B	KA	-0.0434395447023114	0.106812114282371
lmer_pop	LA_NDlog2	Tauber	B	MA	-0.0966114042145743	0.106471376687893
lmer_pop	LA_NDlog2	Tauber	B	MU	-0.271529139120641	0.12286483872569
lmer_pop	LA_NDlog2	Tauber	B	RE	-0.225066483001173	0.127302388789439
lmer_pop	LA_NDlog2	Tauber	B	UM	-0.441446535703833	0.112941631395174
lmer_pop	LA_NDlog2	Tauber	B	VA	-0.247661088579253	0.113992329369899
lmer_pop	LA_NDlog2	Tauber	B	YE	0.0418517775849427	0.0856669753581951
lmer_pop	LA_Period	Tauber	B	AK	24.3240117353228	0.222554598446991
lmer_pop	LA_Period	Tauber	B	GI	23.5997208206014	0.239512004464623
lmer_pop	LA_Period	Tauber	B	KA	24.643092100356	0.202229525676406
lmer_pop	LA_Period	Tauber	B	MA	24.3145796617164	0.206134034529823
lmer_pop	LA_Period	Tauber	B	MU	23.8124884863856	0.265473083240162
lmer_pop	LA_Period	Tauber	B	RE	24.109129046714	0.269648635661087
lmer_pop	LA_Period	Tauber	B	UM	24.5953908275796	0.222652154089054
lmer_pop	LA_Period	Tauber	B	VA	23.9960594407556	0.214766941321546
lmer_pop	LA_Period	Tauber	B	YE	24.0942260327892	0.193743770656012
lmer_pop	LA_CircPhase	Tauber	B	AK	9.21333256028183	0.819963906807103
lmer_pop	LA_CircPhase	Tauber	B	GI	13.2238347895871	0.883833620780033
lmer_pop	LA_CircPhase	Tauber	B	KA	13.9821341425159	0.742420728317734
lmer_pop	LA_CircPhase	Tauber	B	MA	12.8658065409247	0.758807159641113
lmer_pop	LA_CircPhase	Tauber	B	MU	12.26181588645	0.983716433845391
lmer_pop	LA_CircPhase	Tauber	B	RE	12.9026611916698	0.995898220376523
lmer_pop	LA_CircPhase	Tauber	B	UM	10.9657681810606	0.820137300261539
lmer_pop	LA_CircPhase	Tauber	B	VA	12.8733295287993	0.7888649773151
lmer_pop	LA_CircPhase	Tauber	B	YE	12.8272211821897	0.717926956234129
lm_pop	LA_AbsPhase	Tauber	B	AK	11.9932857142857	0.552460235589251
lm_pop	LA_AbsPhase	Tauber	B	GI	12.863	0.596725255505874
lm_pop	LA_AbsPhase	Tauber	B	KA	11.4341666666667	0.504324888594752
lm_pop	LA_AbsPhase	Tauber	B	MA	11.6951219512195	0.510438140748366
lm_pop	LA_AbsPhase	Tauber	B	MU	13.4857446808511	0.674219199053708
lm_pop	LA_AbsPhase	Tauber	B	RE	13.73125	0.667159117601036
lm_pop	LA_AbsPhase	Tauber	B	UM	12.0318309859155	0.548555874046474
lm_pop	LA_AbsPhase	Tauber	B	VA	13.8239436619718	0.548555874046475
lm_pop	LA_AbsPhase	Tauber	B	YE	12.6042696629214	0.489953699182734
lmer_pop	LA_Activity	Tauber	B	AK	30.4574096329741	2.4528741341887
lmer_pop	LA_Activity	Tauber	B	GI	34.2558793402698	2.45025199548173
lmer_pop	LA_Activity	Tauber	B	KA	35.7664822486832	2.24258241624079
lmer_pop	LA_Activity	Tauber	B	MA	37.1822852542192	2.23636276395436
lmer_pop	LA_Activity	Tauber	B	MU	24.8383745822011	2.43074603520954
lmer_pop	LA_Activity	Tauber	B	RE	40.0589607804769	2.63269786113522
lmer_pop	LA_Activity	Tauber	B	UM	26.1906616442832	2.36741743499868
lmer_pop	LA_Activity	Tauber	B	VA	28.9938562599993	2.39234110228986
lmer_pop	LA_Activity	Tauber	B	YE	34.7576408665359	1.756212792263
